:539:Adams, Michael:Bronstein, David I:0:
:540:Arnason, Jon L:Adams, Michael:1:
:541:Veingold, Aleksandr:Adams, Michael:1:
:542:Thipsay, Praveen Mahadeo:Adams, Michael:1:
:543:Akopian, Vladimir:Adams, Michael:0:
:544:Adams, Michael:Ubilava, Elizbar:0:
:545:Westerinen, Heikki MJ:Adams, Michael:-1:
:546:Adams, Michael:Tan Lian Ann:1:
:547:Adams, Michael:Serper, Grigory:0:
:548:Adams, Michael:Salazar, Hernan:1:
:549:Adams, Michael:Dreev, Alexey:1:
:550:Adams, Michael:Adorjan, Andras:1:
:551:Adams, Michael:Lesiege, Alexandre:0:
:552:Prakash, G B.:Adams, Michael:-1:
:553:Adams, Michael:Tiviakov, Sergei:-1:
:554:Sjodahl, Pontus:Adams, Michael:-1:
:555:Adams, Michael:Djurhuus, Rune:1:
:556:Gdanski, Jacek:Adams, Michael:1:
:557:Adams, Michael:Hall, Jesper:0:
:558:Adams, Michael:Galliamova, Alisa:1:
:559:Akopian, Vladimir:Adams, Michael:1:
:560:Adams, Michael:Nunn, John DM:1:
:561:Adams, Michael:Vaganian, Rafael A:1:
:562:Adams, Michael:Vaganian, Rafael A:1:
:563:Adams, Michael:Nunn, John DM:1:
:564:Nunn, John DM:Adams, Michael:1:
:565:Vaganian, Rafael A:Adams, Michael:1:
:566:Adams, Michael:King, Daniel J:0:
:567:Lopez Roldan, E.:Adams, Michael:-1:
